Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Anxiety_Level_During_Exams,Skill_Retention_Score,Major_FreqEnc,Prompt_Engineering_Skill_Advanced,Prompt_Engineering_Skill_Beginner,Prompt_Engineering_Skill_Intermediate,Institutional_Policy_Actively_Encouraged,Institutional_Policy_Allowed_With_Citation,Institutional_Policy_Strict_Ban,Burnout_Risk_Level_High,Burnout_Risk_Level_Low,Burnout_Risk_Level_Medium
0.5,0.75,0.4387211367673179,0.58275,0.0,0.0,1.0,0.2045324153757889,0.4444444444444445,0.5555555555555556,0.848016139878951,0.4449923296077143,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.75,0.5,0.9371225577264652,0.028000000000000004,0.75,1.0,0.0,0.44893861158921394,0.2222222222222222,0.8888888888888888,0.6569154898004932,0.05950032873109801,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.25,0.0,0.7868561278863231,0.5315000000000001,1.0,0.25,0.0,0.2682157200229489,0.4444444444444445,0.8888888888888888,0.7078009414929389,0.7237563006793777,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.25,0.75,0.9257548845470691,0.045500000000000006,0.0,0.75,0.0,0.40820424555364315,0.1111111111111111,0.1111111111111111,0.5917955615332885,0.7237563006793777,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,1.0,0.8710479573712253,0.23224999999999998,0.25,0.75,0.0,0.3313253012048193,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,0.5,0.8049733570159856,0.1625,0.25,0.0,0.0,0.37837062535857713,0.3333333333333333,0.4444444444444445,0.6180228648285139,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,0.0,0.8664298401420958,0.78525,1.0,1.0,1.0,0.3473895582329317,0.7777777777777777,0.6666666666666665,0.6409997758350146,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.5,0.5552397868561278,0.13325,0.0,0.5,0.0,0.5005737234652897,0.1111111111111111,0.0,0.8328850033624748,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.25,1.0,0.7946714031971578,0.05,0.25,0.25,1.0,0.0536431440045898,0.0,0.4444444444444445,0.5035866397668685,0.7237563006793777,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.25,1.0,0.6618117229129661,0.49974999999999997,0.25,0.25,1.0,0.32960413080895007,0.2222222222222222,0.7777777777777777,0.8563102443398343,0.7237563006793777,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,0.25,0.7900532859680283,0.129,1.0,0.5,0.0,0.2991967871485944,0.4444444444444445,0.2222222222222222,0.9486662183366958,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.75,0.5,0.5129662522202485,0.09050000000000001,0.5,0.5,0.0,0.20223752151462998,0.2222222222222222,0.2222222222222222,0.6907644026003138,0.05950032873109801,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.75,0.8156305506216694,0.0715,0.0,0.25,0.0,0.2280550774526678,0.1111111111111111,0.3333333333333333,0.6377493835462902,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.5,0.7253996447602131,0.22375,0.5,0.0,0.0,0.6970740103270224,0.1111111111111111,0.2222222222222222,0.6017709033848913,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.717229129662522,0.0305,0.0,0.0,0.0,0.44520940906483075,0.1111111111111111,0.3333333333333333,0.6715982963461108,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.75,0.3172291296625222,0.36850000000000005,0.25,0.0,1.0,0.33247274813539873,0.3333333333333333,0.3333333333333333,0.6711499663752521,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.5,1.0,0.6209591474245115,0.052000000000000005,0.5,0.5,0.0,0.4059093516924842,0.4444444444444445,0.7777777777777777,0.5481954718672943,0.4449923296077143,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.25,0.75,0.7008880994671403,0.20074999999999998,0.5,0.75,0.0,0.2782558806655192,0.3333333333333333,0.4444444444444445,0.8952028693118137,0.7237563006793777,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.5,0.5,0.6365896980461812,0.012750000000000001,1.0,0.0,0.0,0.2822719449225473,0.0,0.1111111111111111,0.48386012104909215,0.4449923296077143,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,1.0,0.7538188277087032,0.005000000000000001,0.25,0.75,0.0,0.07716580608146872,0.0,0.3333333333333333,0.7111634162743781,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.25,1.0,0.5161634103019539,0.04075,0.0,0.75,0.0,0.5080321285140562,0.3333333333333333,0.2222222222222222,0.7565568258238063,0.7237563006793777,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,0.75,0.8333925399644759,0.12275000000000001,0.25,0.0,0.0,0.4239816408491107,0.1111111111111111,0.5555555555555556,0.6364043936337145,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.5,0.8412078152753106,0.262,0.0,0.25,1.0,0.05020080321285141,0.1111111111111111,0.2222222222222222,0.6504147052230442,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.5,0.75,0.8511545293072824,0.011250000000000001,0.75,0.0,1.0,0.2756741250717154,0.0,0.7777777777777777,0.49932750504371215,0.4449923296077143,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.5,0.0,0.41953818827708694,0.718,0.0,0.0,0.0,0.2076878944348824,0.7777777777777777,0.6666666666666665,0.5895539116789958,0.4449923296077143,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.75,0.7548845470692715,0.0595,0.75,0.75,1.0,0.2963281698221457,0.1111111111111111,0.1111111111111111,0.796570275722932,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,1.0,0.7655417406749554,0.4655,0.25,1.0,1.0,0.3812392426850258,0.5555555555555556,0.1111111111111111,0.8022864828513786,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.25,0.5,0.7527531083481349,0.5990000000000001,0.75,0.25,1.0,0.1589213998852553,0.4444444444444445,0.0,0.6384218785025779,0.7237563006793777,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
